gene_id	seqnames	start	end	width	strand
100038555	chr7	137234683	137242609	7927	+
100038556	chr6	84412942	84423838	10897	-
100038566	chr9	57056897	57071966	15070	-
100038570	chr11	116653534	116668389	14856	+
100038574	chr6	126286649	126328686	42038	-
100038575	chr9	79444037	79519302	75266	-
100038577	chr13	41865915	41913092	47178	+
100038584	chrX	99405331	99443797	38467	-
100038591	chr10	127195249	127202643	7395	+
100038595	chr4	139175407	139180655	5249	-
100038600	chr11	96446899	96464547	17649	-
100038602	chr15	78994955	79011041	16087	-
100038607	chr3	146367153	146378944	11792	-
100038608	chr15	10600293	10611651	11359	+
100038614	chr16	84972211	84979451	7241	+
100038617	chr11	24721006	24730722	9717	-
100038623	chr16	27849930	27926128	76199	+
100038627	chr13	67278594	67283361	4768	+
100038628	chr19	43838803	43840845	2043	+
100038638	chrX	68667514	68678399	10886	-
100038653	chr1	132729353	132732826	3474	+
100038654	chr14	47097679	47116161	18483	-
100038657	chr1	162647243	162658219	10977	-
100038659	chr15	76266787	76269839	3053	-
100038666	chr11	66905632	66947086	41455	-
100038689	chr12	117144523	117151269	6747	-
100038690	chr13	118603410	118658743	55334	-
100038693	chr4	142084298	142088101	3804	+
100038699	chr10	97681414	97967090	285677	-
100038706	chr8	87169747	87199850	30104	-
100038709	chr16	90142237	90146827	4591	+
100038712	chr1	192136898	192151025	14128	+
100038713	chr12	100276609	100300908	24300	+
100038714	chr6	72629288	72637717	8430	+
100038718	chr17	79506049	79510486	4438	-
100038725	chr10	53278081	53379851	101771	-
100038728	chr15	43430943	43477036	46094	-
100038732	chr11	112792731	112799008	6278	-
100038734	chr14	79860521	79869176	8656	-
100038743	chr2	66440880	66547472	106593	+
100038746	chr17	94759942	94834799	74858	-
100038752	chr10	22402813	22407470	4658	+
100038847	chr14	6739362	7315037	575676	-
100038854	chr16	36321665	36334332	12668	-
100038859	chr17	33176416	33177363	948	+
100038860	chr17	33199062	33200009	948	+
100038862	chr17	34377132	34386028	8897	+
100038882	chr4	156199424	156200818	1395	-
100038912	chr7	16649030	16657478	8449	-
100038927	chr8	21134650	21135598	949	+
100038941	chrX	124127339	124135910	8572	-
100038947	chr3	15795147	15963675	168529	-
100038948	chr4	60135913	60421952	286040	-
100038949	chr5	26000172	26004727	4556	-
100038977	chrX	25548501	25570449	21949	-
100038982	chr12	87861350	87865690	4341	+
100038993	chr4	42158116	42665763	507648	-
100039008	chr4	60578241	60741281	163041	-
100039027	chr3	40846999	40875609	28611	+
100039028	chr4	60658466	60662395	3930	-
100039030	chrX	26200883	26231323	30441	-
100039042	chr12	87874072	87877859	3788	+
100039043	chr3	40853476	40855285	1810	-
100039045	chr5	26082172	26089264	7093	-
100039052	chr12	87892834	87896722	3889	+
100039054	chr4	60737381	60821483	84103	-
100039055	chrX	55551596	55722219	170624	+
100039062	chr12	44221356	44224380	3025	+
100039065	chrX	26287199	26310044	22846	-
100039087	chr12	87602665	87960682	358018	+
100039089	chr4	61224307	61595832	371526	-
100039116	chr4	61224307	61674094	449788	-
100039120	chrX	26672780	26702638	29859	-
100039123	chr2	176798600	176808704	10105	+
100039138	chr1	185447116	185455568	8453	-
100039139	chr15	3280627	3303526	22900	-
100039148	chr11	37658989	37673166	14178	+
100039150	chr4	60066469	61595832	1529364	-
100039176	chr2	60411525	60412574	1050	+
100039177	chr4	61300019	61519486	219468	-
100039186	chr9	83431547	83454574	23028	+
100039206	chr4	61591930	61595832	3903	-
100039211	chr8	76749087	76900173	151087	-
100039222	chr9	83691475	83693247	1773	+
100039239	chr7	84528954	84578339	49386	+
100039246	chr14	25887934	26182351	294418	-
100039280	chr14	25942540	26235742	293203	+
100039293	chr14	25983005	26269434	286430	+
100039315	chr12	88175589	88181894	6306	-
100039319	chrX	117014757	117015104	348	+
100039348	chr18	80541892	80544546	2655	-
100039436	chrX	144552758	144556239	3482	-
100039495	chr6	145250552	145251856	1305	+
100039499	chr7	5802729	5803631	903	-
100039574	chrY	67339049	80757210	13418162	-
100039596	chr1	9960163	9967485	7323	-
100039641	chr6	147180241	147208294	28054	+
100039672	chr4	43583216	43584494	1279	-
100039684	chr3	51559757	51567116	7360	+
100039691	chr13	97434970	97497664	62695	+
100039706	chr7	42816827	42867234	50408	-
100039707	chr9	88688605	88719798	31194	-
100039727	chr6	147690241	147702374	12134	+
100039753	chrY	8832249	8835169	2921	-
100039781	chr4	43727198	43728110	913	+
100039795	chr1	166254139	166316832	62694	+
100039796	chr11	49057196	49064212	7017	-
100039801	chr8	47822143	47822805	663	+
100039805	chr5	147418620	147423044	4425	+
100039864	chr4	132308678	132311024	2347	+
100039890	chrX	148322134	149487784	1165651	+
100039913	chrX	37412105	37416806	4702	+
100039934	chrX	147811320	149487784	1676465	+
100039948	chrX	37453659	37458375	4717	+
100039953	chr7	45176349	45179597	3249	-
100039954	chr8	50368112	50416089	47978	+
100039957	chr19	8774485	8776962	2478	+
100039968	chr4	127126043	127129660	3618	+
100040016	chrX	37530468	37541809	11342	+
100040022	chrY	11197162	15883245	4686084	-
100040030	chr4	14212012	14291309	79298	-
100040048	chr4	42153445	42656005	502561	+
100040049	chr7	145205818	145208119	2302	-
100040201	chr16	89015277	89015846	570	+
100040208	chr6	40995822	40999479	3658	-
100040214	chr16	89040923	89041472	550	-
100040223	chrY	13252391	17967598	4715208	+
100040233	chr6	41442214	41446097	3884	-
100040248	chr11	99657942	99658959	1018	-
100040268	chr4	43834752	43836517	1766	-
100040276	chr11	99771714	99772913	1200	-
100040294	chr8	87472812	87525554	52743	+
100040299	chr10	77814682	77815404	723	+
100040322	chr13	107022570	107055497	32928	+
100040339	chr12	105394856	105403760	8905	-
100040421	chr13	53393689	53455630	61942	+
100040462	chr1	173857220	173880187	22968	-
100040525	chr17	6610103	6620925	10823	-
100040533	chrX	32973897	32975846	1950	+
100040552	chrX	33056286	33057063	778	+
100040567	chr4	45762377	45764223	1847	-
100040572	chr13	52569880	52573225	3346	-
100040591	chr1	87384577	87394729	10153	-
100040599	chr8	20337664	20363202	25539	-
100040606	chrX	33313338	33315288	1951	+
100040608	chr7	51860577	51862267	1691	-
100040617	chr4	89050307	89084610	34304	+
100040671	chr14	3049285	3136967	87683	+
100040698	chrX	33575387	33577346	1960	-
100040722	chrX	33657140	33659082	1943	+
100040724	chr12	109729764	109749457	19694	+
100040732	chrX	33700649	33702349	1701	-
100040736	chr4	114909289	114921967	12679	+
100040766	chr1	88227020	88262289	35270	+
100040786	chrY	54185857	66742170	12556314	-
100040792	chr11	102576399	102579119	2721	-
100040843	chr4	115600938	115622366	21429	+
100040851	chr10	26078255	26079447	1193	+
100040852	chr14	3814913	3830681	15769	+
100040861	chr4	143511312	143558236	46925	+
100040880	chr14	3428068	3966517	538450	+
100040882	chr3	40504865	40522912	18048	-
100040894	chrX	54531208	54639016	107809	+
100040911	chrY	83789754	85529519	1739766	-
100040937	chrX	154886803	154890267	3465	-
100040970	chr7	45324958	45325651	694	+
100040972	chrX	136224041	136226100	2060	+
100040999	chr12	69963409	69969744	6336	+
100041014	chrY	24188659	26267093	2078435	-
100041062	chr4	88757844	88758392	549	+
100041077	chr4	144099880	144110101	10222	+
100041085	chr10	39946912	39960153	13242	-
100041096	chr9	106626582	106627612	1031	+
100041102	chr5	94526284	94538367	12084	+
100041108	chr3	34699640	34716662	17023	-
100041151	chr14	6735683	6875160	139478	-
100041187	chr7	103309723	103310661	939	+
100041230	chr13	21811746	21812150	405	+
100041231	chr14	34345055	34345658	604	+
100041244	chr2	19655806	19657897	2092	-
100041253	chr5	94865453	95195342	329890	+
100041256	chrY	64301785	64786299	484515	-
100041261	chr10	77770633	77771325	693	-
100041286	chr11	6525591	6528760	3170	-
100041290	chr4	118626404	118631915	5512	+
100041294	chr10	31413726	31414435	710	-
100041296	chr5	95305923	95343575	37653	+
100041306	chr14	3963547	4875851	912305	+
100041311	chr11	6650148	6660236	10089	-
100041339	chr6	55684571	55694574	10004	+
100041347	chr11	7183157	7188569	5413	-
100041351	chr10	77861975	77862638	664	+
100041352	chr17	13354572	13377223	22652	+
100041354	chr5	95139275	95804235	664961	+
100041375	chr5	145558664	145720136	161473	-
100041379	chr4	145670697	145704437	33741	+
100041412	chr11	99602646	99603308	663	-
100041433	chr4	146502000	146539395	37396	+
100041449	chr5	146079258	146113283	34026	+
100041479	chr2	18742709	18760862	18154	-
100041480	chr3	10088277	10092562	4286	+
100041488	chr11	99609794	99610189	396	-
100041515	chr14	5253907	6757057	1503151	-
100041530	chr14	3412614	3673272	260659	+
100041546	chr15	75108161	75111949	3789	-
100041548	chr5	146514123	146516902	2780	+
100041550	chrY	12381989	17095887	4713899	+
100041554	chr5	146525801	146528553	2753	+
100041566	chr5	146537648	146540427	2780	+
100041574	chr17	14978864	15011041	32178	+
100041576	chr5	45719667	45727578	7912	-
100041578	chr5	146502377	146558915	56539	+
100041581	chr4	58943628	58958355	14728	+
100041586	chr17	14964189	15041559	77371	-
100041596	chr1	93918437	93941239	22803	+
100041605	chr9	35848545	35849880	1336	-
100041618	chr9	36134287	36135630	1344	-
100041621	chr17	15009840	15041419	31580	+
100041639	chr17	14995783	15010184	14402	-
100041655	chr15	79166066	79217383	51318	+
100041658	chr4	60066469	60070475	4007	-
100041660	chr9	71211913	71215386	3474	-
100041677	chr4	147753974	147809788	55815	-
100041678	chr14	5365792	5807939	442148	-
100041687	chr4	60218621	60421952	203332	-
100041688	chr8	21065038	21066001	964	+
100041694	chr12	76444497	76451336	6840	+
100041724	chr14	46379524	46383606	4083	+
100041759	chr8	21201604	21202446	843	+
100041774	chr14	3395093	3642952	247860	+
100041787	chr8	21249762	21250461	700	+
100041811	chr8	21315546	21316387	842	+
100041840	chr14	3449312	3698681	249370	+
100041874	chr14	7471005	7568566	97562	-
100041890	chr8	21529030	21530012	983	+
100041895	chr8	21427428	21566350	138923	+
100041952	chr8	21665797	21666733	937	+
100041979	chr13	62367716	62383174	15459	-
100042049	chr5	22528221	22529030	810	-
100042055	chr14	41767172	43015576	1248405	-
100042056	chr6	54269681	54430221	160541	-
100042065	chr1	39804141	39805332	1192	-
100042149	chr14	6739362	7169750	430389	-
100042150	chr18	36017658	36197160	179503	-
100042159	chrX	3441731	3752885	311155	-
100042165	chr5	104508352	104522383	14032	+
100042166	chr5	151406504	151432118	25615	+
100042173	chr11	6172508	6173331	824	-
100042194	chr2	35549534	35558702	9169	-
100042198	chr5	64593863	64610699	16837	-
100042254	chrX	4037674	4802359	764686	+
100042275	chrX	4952135	4954077	1943	+
100042291	chr13	70021959	70119949	97991	+
100042295	chr9	78230669	78269166	38498	+
100042314	chr9	78289928	78305525	15598	+
100042332	chr11	120186650	120189856	3207	-
100042342	chr14	43602627	43608013	5387	-
100042415	chr14	9884095	9886868	2774	+
100042437	chr7	12176193	12177113	921	+
100042450	chr7	6415175	6431086	15912	+
100042480	chrX	101849385	102092055	242671	+
100042498	chr11	75461539	75466690	5152	+
100042499	chr7	12651706	12684991	33286	-
100042514	chr3	92285304	92289264	3961	+
100042539	chr4	41889795	42233950	344156	+
100042584	chr2	39157486	39162235	4750	-
100042591	chr7	7383985	7399627	15643	-
100042605	chr5	143164779	143165751	973	-
100042636	chr7	7671829	7689398	17570	-
100042653	chr7	7876653	7902462	25810	-
100042679	chr17	22776230	22817747	41518	-
100042715	chr8	32888505	32950026	61522	-
100042757	chr18	42274380	42275197	818	-
100042761	chr3	94071622	94072644	1023	-
100042781	chr7	8907734	8931402	23669	-
100042782	chrX	8985940	8986672	733	-
100042784	chr2	92974906	93046144	71239	-
100042786	chr12	87644120	87846716	202597	-
100042810	chr7	8471469	8488959	17491	-
100042814	chr1	71652837	71662843	10007	+
100042840	chrY	2720339	2720674	336	-
100042848	chr7	8137905	8161551	23647	-
100042855	chr18	44156403	44159885	3483	-
100042889	chr3	95871522	95889093	17572	+
100042891	chr7	8010339	9841325	1830987	-
100042894	chr7	9485565	9770571	285007	-
100042921	chr7	10087198	10105659	18462	-
100042922	chrX	11299257	11299757	501	+
100042926	chr2	58163974	58177063	13090	+
100042927	chrX	11302432	11302921	490	+
100042929	chrX	11305655	11324976	19322	+
100042943	chrX	11308755	11321931	13177	+
100042948	chr16	20545112	20548556	3445	-
100042964	chr7	20333142	22329717	1996576	-
100042966	chr7	20356626	22354555	1997930	-
100042968	chr7	20441670	22438229	1996560	-
100042976	chr7	20575321	22565343	1990023	-
100042996	chr7	20811221	20812186	966	-
100043013	chr7	21300502	21301467	966	-
100043019	chr7	21760531	21761475	945	-
100043033	chr7	20121656	20122579	924	-
100043034	chr4	147021850	147060799	38950	+
100043037	chr7	20138123	20139088	966	-
100043040	chr12	3403883	3426747	22865	-
100043057	chr16	26503793	26526771	22979	-
100043058	chr7	20473960	22464075	1990116	-
100043065	chr12	31168862	31185922	17061	+
100043067	chr7	22789859	22790782	924	-
100043072	chr14	68123752	68131371	7620	+
100043079	chr7	22983729	22984673	945	-
100043083	chr7	21795811	23019923	1224113	-
100043092	chr7	12221316	12225807	4492	+
100043101	chr7	23540720	23541649	930	+
100043102	chr16	30008667	30021430	12764	+
100043103	chr7	23577185	23578099	915	+
100043108	chr19	39842660	39886769	44110	-
100043123	chr11	115031447	115048295	16849	-
100043125	chr11	115020689	115026933	6245	-
100043132	chr14	71251273	71271059	19787	+
100043133	chr7	128234451	128238031	3581	-
100043147	chr16	11008898	11015184	6287	+
100043150	chr7	129962165	129978669	16505	+
100043160	chr17	25901856	25902227	372	-
100043169	chr14	74975086	74987104	12019	+
100043188	chr3	94174412	94178193	3782	-
100043189	chr14	75842918	75844964	2047	-
100043194	chr7	13733506	13779637	46132	+
100043200	chr10	129965736	129966698	963	-
100043213	chrX	105348282	105391754	43473	-
100043216	chrX	24552250	24573305	21056	-
100043229	chr7	27765673	27771790	6118	+
100043232	chr2	115493513	115512201	18689	-
100043254	chr7	135268619	135272942	4324	+
100043272	chr2	118745758	118748810	3053	+
100043292	chr10	104142987	104188000	45014	+
100043300	chr17	39536142	39540847	4706	+
100043305	chr3	95427349	95470390	43042	+
100043314	chr16	43648861	43664184	15324	-
100043315	chr15	95097622	95162394	64773	-
100043326	chr7	31359038	31362072	3035	-
100043332	chr17	43534174	43543639	9466	-
100043335	chr15	96182800	96203470	20671	+
100043387	chr2	176708353	176721813	13461	+
100043424	chr2	128298663	128429351	130689	-
100043434	chr17	32241920	32242855	936	+
100043450	chr19	52923181	52926931	3751	+
100043456	chr3	98499071	98563505	64435	-
100043468	chr17	33289544	33304689	15146	+
100043474	chr17	33215261	33216351	1091	-
100043489	chr16	21794347	21809039	14693	+
100043497	chr6	85706707	85708561	1855	-
100043513	chr10	122119697	122130558	10862	+
100043536	chr7	20417942	20418865	924	+
100043569	chr7	20771185	20772078	894	+
100043580	chr7	127232418	127233130	713	-
100043582	chr17	64514089	64555590	41502	-
100043595	chr7	20610884	23178761	2567878	+
100043597	chr7	127511983	127561219	49237	+
100043604	chr7	21612745	22097921	485177	+
100043609	chr2	119321199	119326197	4999	-
100043627	chr7	142273764	142274363	600	-
100043636	chr11	83223576	83226584	3009	+
100043644	chr17	71333201	71341804	8604	-
100043645	chr7	20724512	22719710	1995199	-
100043682	chr7	132315664	132318291	2628	+
100043684	chr3	113345049	113356658	11610	-
100043688	chr3	113279837	113324052	44216	-
100043706	chr7	24661294	24663109	1816	+
100043757	chr2	174643534	174710830	67297	+
100043766	chr2	130801966	130804101	2136	-
100043772	chr7	27984471	28014115	29645	-
100043827	chr7	31263736	31265935	2200	+
100043836	chr7	31703779	31705754	1976	-
100043842	chr7	32209173	32211142	1970	-
100043856	chr7	33171892	33173861	1970	-
100043860	chr7	33743799	33745103	1305	+
100043861	chr6	128706508	128723046	16539	-
100043868	chr7	34095431	34100837	5407	+
100043885	chr17	75861023	75889039	28017	+
100043899	chr2	163492318	163502612	10295	+
100043902	chr17	85601932	85618396	16465	-
100043904	chr17	89379241	89384993	5753	+
100043910	chr2	170061240	170070778	9539	-
100043911	chr2	173579320	173659539	80220	-
100043915	chr2	175321834	175338212	16379	-
100043946	chrX	12339779	12354996	15218	-
100044193	chr17	94864918	94878321	13404	+
100044509	chr8	4248214	4251423	3210	+
100045469	chr2	158595472	158610723	15252	-
100045653	chr10	77418376	77420939	2564	+
100045778	chr4	156127488	156133422	5935	+
100045792	chr10	18129022	18210890	81869	-
100047133	chr1	40076212	40085851	9640	-
100048534	chr19	47736857	47919299	182443	-
100048658	chr9	78395777	78423589	27813	+
100048701	chr2	129178148	129180673	2526	-
100048884	chr4	61224307	61674094	449788	-
100048885	chr4	60817586	61782224	964639	-
100048895	chr15	98567324	98570864	3541	+
100049077	chr9	21955284	21956006	723	-
100049161	chr4	140810993	140817511	6519	+
100049545	chrX	66796805	66796875	71	-
100049546	chrX	66776757	66776818	62	-
100049547	chr11	50357785	50357879	95	-
100049548	chrX	66780373	66780437	65	-
100049549	chr8	84178716	84178787	72	-
100049710	chr7	3218626	3218708	83	+
100061	chr4	94636660	94650144	13485	-
100066	chr4	96294509	96348680	54172	-
100072	chr4	151059523	151861768	802246	-
100073351	chrX	157566119	157568985	2867	-
100087	chr4	108847857	108849412	1556	+
100088	chr4	132331919	132345750	13832	-
100090	chr4	152019776	152027671	7896	-
100093700	chr6	141340553	141344387	3835	+
100101919	chr1	46425518	46807477	381960	+
100102	chr4	106442334	106464325	21992	-
100113364	chr5	129794561	129794676	116	+
100113398	chr10	80602880	80607654	4775	+
100121	chr4	45965335	46034765	69431	+
100124431	chrX	52742331	52742413	83	-
100124432	chr16	13449523	13449601	79	+
100124433	chr14	54975700	54975776	77	-
100124437	chr14	44947443	44947511	69	-
100124438	chr7	19386643	19386717	75	+
100124439	chr7	61940027	61940106	80	-
100124441	chrX	66832517	66832597	81	-
100124445	chr7	28452227	28482345	30119	+
100124446	chr4	81476309	81487013	10705	-
100124447	chr2	10507630	10507714	85	+
100124449	chrX	68010105	68010179	75	-
100124450	chr12	109729325	109729402	78	+
100124451	chr5	64970318	64970395	78	+
100124452	chr14	63727189	63727267	79	+
100124453	chr12	109723218	109723301	84	+
100124456	chr4	94665157	94665237	81	+
100124457	chr4	36668510	36668586	77	-
100124458	chr4	36645373	36645453	81	-
100124459	chr17	35960730	35960814	85	-
100124460	chrX	66801944	66802021	78	-
100124461	chr12	109682197	109682273	77	+
100124462	chrX	66780758	66780833	76	-
100124463	chrX	72591500	72591579	80	-
100124464	chrX	66825955	66826035	81	-
100124465	chr2	5379390	5483389	104000	+
100124466	chr12	109580233	109580315	83	+
100124467	chr16	43640655	43640737	83	+
100124468	chr6	3721301	3721385	85	-
100124469	chr15	35660970	35661047	78	-
100124470	chr3	89227116	89227198	83	-
100124473	chrX	66829202	66835842	6641	-
100124474	chr2	10503565	10503645	81	+
100124476	chrX	59097658	59097736	79	-
100124478	chrX	66810428	66810504	77	-
100124479	chrX	66801508	66801585	78	-
100124480	chrX	66800530	66800607	78	-
100124481	chr3	90070020	90070099	80	+
100124484	chr12	109735619	109735700	82	+
100124488	chr2	14261003	14261081	79	+
100124489	chr13	109324744	109324823	80	+
100124491	chr13	58023125	58023200	76	-
100124492	chr5	9375704	9375779	76	+
100124493	chrX	66789890	66789967	78	-
100124494	chrX	103572921	103572996	76	-
100124495	chr2	10514595	10514674	80	+
100124496	chrX	66777256	66777332	77	-
100124624	chr2	10478798	10478880	83	+
100124625	chr2	10486135	10500904	14770	+
100124627	chr2	10483678	10483760	83	+
100124641	chr13	74407065	74407173	109	+
100124642	chr2	10491048	10503355	12308	+
100124649	chr13	50544626	50601080	56455	-
100124668	chr2	10481531	10484055	2525	+
100125339	chr1	191025351	191029781	4431	+
100125586	chr3	64116432	64137480	21049	-
100125594	chr2	151380650	151432449	51800	-
100125931	chr3	103964536	103968316	3781	-
100126224	chr11	118444200	118454995	10796	-
100126226	chr15	101485130	101491512	6383	-
100126227	chr4	140947666	140957902	10237	-
100126242	chr17	47699969	47701996	2028	-
100126269	chr15	35307010	35328535	21526	-
100126692	chr12	112428284	112435338	7055	-
100126765	chr17	38416474	38420185	3712	-
100126766	chr17	40632075	40637060	4986	+
100126768	chr17	38639447	38645653	6207	+
100126773	chr17	38554192	38560621	6430	+
100126774	chr17	39406359	39410992	4634	+
100126775	chr17	39950520	39955287	4768	+
100126776	chr17	39036695	39040227	3533	+
100126777	chr17	40598594	40602617	4024	+
100126778	chr17	40520022	40530702	10681	+
100126779	chr17	39073691	39077037	3347	-
100127111	chr19	8725866	8725991	126	+
100127433	chr11	97020508	97026418	5911	-
100129	chr4	152274362	152285337	10976	+
100134990	chr11	23558060	23558842	783	-
100135654	chrX	37469868	37473961	4094	+
100135657	chrX	37380388	37550897	170510	+
100141474	chr11	97490783	97500340	9558	-
100151693	chr14	55038462	55042976	4515	+
100163	chr4	134396320	134427412	31093	+
100165	chr4	141614370	141615604	1235	+
100169	chr4	132355925	132422446	66522	-
100169864	chrX	74356816	74373349	16534	-
100169874	chr17	57092023	57105942	13920	-
100169878	chr10	77257773	77259223	1451	-
100169889	chr7	6706760	6707624	865	+
100170401	chr7	43214039	43226842	12804	+
100177	chr4	127077383	127124374	46992	+
100182	chr4	63367123	63410714	43592	-
100188919	chr14	25603513	25605636	2124	+
100190765	chr13	113037419	113037498	80	+
100190996	chr2	175470025	175483322	13298	+
100191037	chr10	77826169	77827070	902	-
100198	chr4	149979474	150009023	29550	-
100201	chr4	15265820	15286753	20934	+
100206	chr4	126316351	126321703	5353	-
100210	chr4	133584373	133591735	7363	+
100213	chr4	43381982	43427092	45111	+
100216455	chr2	150257517	150270300	12784	+
100216474	chr17	7350904	7352696	1793	-
100216530	chr19	7478518	7478561	44	+
100216531	chr11	116674147	116674223	77	+
100216532	chr16	23108953	23109020	68	+
100216533	chr4	117155771	117155848	78	-
100216534	chr11	48802033	48803206	1174	+
100216535	chr9	15326289	15326330	42	-
100216536	chr11	116672505	116672582	78	+
100216537	chr11	106500991	106501063	73	+
100216538	chr11	116674597	116674672	76	+
100216539	chr11	78181687	78181756	70	-
100217413	chr6	125186361	125186431	71	-
100217414	chr1	159340307	159340424	118	+
100217415	chr1	87784571	87784818	248	+
100217416	chr15	98526348	98526459	112	-
100217417	chr15	98519717	98519878	162	-
100217418	chr4	132309953	132310069	117	+
100217419	chr7	141448803	141448936	134	+
100217420	chr16	23110770	23110933	164	+
100217421	chr1	59704808	59704870	63	+
100217423	chr14	31016219	31016272	54	-
100217424	chr4	117154516	117154574	59	-
100217425	chr3	153912129	153912189	61	-
100217426	chr11	62603086	62603148	63	+
100217427	chr17	34950950	34951008	59	-
100217428	chr2	130278026	130278088	63	+
100217429	chr7	59978811	59978856	46	-
100217430	chr16	20684256	20684313	58	+
100217431	chr14	31014293	31014351	59	-
100217432	chr8	109839312	109839375	64	+
100217433	chr7	44250021	44252315	2295	+
100217434	chr7	44249855	44249938	84	+
100217435	chr2	37400061	37400128	68	-
100217436	chr5	23852233	23852277	45	+
100217437	chr4	132310703	132310758	56	+
100217438	chr3	108554342	108554402	61	-
100217440	chr4	132310307	132310368	62	+
100217441	chr7	15938762	15938860	99	-
100217442	chr7	127527897	127528003	107	+
100217443	chr2	167065293	167065358	66	+
100217444	chr11	62604530	62604586	57	+
100217445	chr14	52209786	52209884	99	-
100217446	chr1	161038092	161038156	65	+
100217447	chr12	80391613	80391737	125	-
100217448	chr4	86586453	86586570	118	-
100217449	chr1	185242926	185243043	118	+
100217450	chr13	95330611	95330736	126	+
100217451	chr6	115807975	115808103	129	-
100217452	chr2	130275515	130275573	59	+
100217453	chr9	64175432	64175522	91	+
100217454	chr10	81178961	81179013	53	+
100217455	chr11	62603460	62603521	62	+
100217456	chr7	110848296	110848315	20	-
100217458	chr2	91596081	91596178	98	+
100217459	chr1	59691958	59692010	53	+
100217460	chr4	130749638	130749702	65	+
100217461	chr1	39548747	39548840	94	-
100217462	chr17	71631279	71631361	83	+
100217463	chr10	62765579	62765606	28	-
100217464	chr1	63179023	63179135	113	+
100217465	chr8	110838535	110838598	64	-
100217466	chr18	74778394	74778455	62	-
100217467	chr11	6620319	6620419	101	-
100217468	chr3	153910567	153910611	45	-
100217469	chr11	74905446	74905505	60	+
100226	chr4	132854064	132884458	30395	-
100233175	chr12	102753275	102757810	4536	-
100233207	chr3	79345376	79464128	118753	+
100233208	chr10	81649069	81826490	177422	+
100270707	chrX	7375925	7378042	2118	+
100270744	chr2	84659079	84668781	9703	+
100271704	chr5	104070060	104077608	7549	-
100271841	chr2	181578480	181585115	6636	+
100271882	chr2	150181755	150193279	11525	+
100271928	chr8	58698849	58700796	1948	-
100272219	chr2	25327450	25332571	5122	-
100272221	chr17	25274124	25275528	1405	+
100273	chr4	109061145	109202272	141128	-
100286843	chr3	146641932	146651715	9784	+
100294583	chr12	30884324	30893854	9531	+
100294660	chr8	21378517	21379495	979	+
100302498	chr11	97781639	97781766	128	-
100302499	chr7	109520132	109520251	120	+
100302529	chr15	5118421	5118480	60	+
100302565	chr8	123103058	123103105	48	+
100302567	chr7	28351540	28351633	94	+
100302592	chr2	32777988	32778009	22	+
100302593	chr10	46244748	46244770	23	+
100302600	chr15	80082859	80082906	48	-
100302601	chr15	80078503	80078579	77	-
100302648	chr11	3309000	3320722	11723	+
100302688	chr10	60399726	60403558	3833	+
100302730	chr3	88775239	88854795	79557	+
